Negeri,Daerah,Bandar,Lat,Lon,Total_Population,Male,Female,ISO,HASC_1,HASC_2
Kedah,Baling,Baling,5.6831,100.9106,132304,66462,65842,MY-02,MY.KH,MY.KH.BA
Kedah,Bandar Baharu,Serdang,5.2144,100.6151,41352,20810,20542,MY-02,MY.KH,MY.KH.BB
Kedah,Kuala Muda,Sungai Petani,5.6552,100.5292,41352,20810,20542,MY-02,MY.KH,MY.KH.KM
Kedah,Kubang Pasu,Jitra,6.2413,100.4322,214479,104688,109791,MY-02,MY.KH,MY.KH.KP
Kedah,Kulim,Kulim,5.3411,100.5649,281260,146510,134750,MY-02,MY.KH,MY.KH.KU
Kedah,Kota Setar,Alor Setar,6.124,100.3684,357176,178457,178719,MY-02,MY.KH,MY.KH.KT
Kedah,Langkawi,Langkawi,6.346,99.7904,92784,49065,43719,MY-02,MY.KH,MY.KH.LA
Kedah,Padang Terap,Kuala Nerang,6.2465,100.57771,61970,31395,30575,MY-02,MY.KH,MY.KH.PT
Kedah,Pendang,Pendang,5.9717,100.5149,93598,46768,46830,MY-02,MY.KH,MY.KH.PE
Kedah,Pokok Sena,Pokok Sena,6.103,100.6163,48347,25371,22976,MY-02,MY.KH,MY.KH.PS
Kedah,Sik,Sik,5.9903,100.8149,66387,34140,32247,MY-02,MY.KH,MY.KH.SI
Kedah,Yan,Yan,5.7855,100.3724,66606,33168,33438,MY-02,MY.KH,MY.KH.YA
Perlis,Arau,Arau,6.433,100.2604,32698,18464,14234,MY-09,MY.PL,MY.PL.PE
Perlis,Kangar,Kangar,6.4396,100.1926,61550,36313,25237,MY-09,MY.PL,MY.PL.PE
Perlis,Padang Besar,Padang Besar,6.6605,100.3115,70788,48445,22343,MY-09,MY.PL,MY.PL.PE
Perlis,Kuala Perlis,Kuala Perlis,6.3968,100.1296,40799,24346,16453,MY-09,MY.PL,MY.PL.PE
Perak,Batang Padang,Tapah,4.1963,101.2591,175318,90696,84622,MY-08,MY.PK,MY.PK.BP
Perak,Hilir Perak,Teluk Intan,4.0183,101.0063,202593,103216,99377,MY-08,MY.PK,MY.PK.HI
Perak,Hulu Perak,Gerik,5.4456,101.1119,89926,46567,43359,MY-08,MY.PK,MY.PK.HU
Perak,Kampar,Kampar,4.2006,101.1533,96303,47714,48589,MY-08,MY.PK,MY.PK.KM
Perak,Kerian,Parit Buntar,5.1251,100.4892,176975,88477,88498,MY-08,MY.PK,MY.PK.KE
Perak,Kinta,Ipoh,4.628,101.0969,749474,373407,376067,MY-08,MY.PK,MY.PK.KN
Perak,Kuala Kangsar,Kuala Kangsar,4.7668,100.9476,155592,77524,78068,MY-08,MY.PK,MY.PK.KK
Perak,Larut dan Matang,Taiping,4.8495,100.7405,326476,164526,161950,MY-08,MY.PK,MY.PK.LM
Perak,Manjung,Seri Manjung,4.1809,100.6397,227071,118551,108520,MY-08,MY.PK,MY.PK.MA
Perak,Perak Tengah,Seri Iskandar,4.3657,100.9592,99854,49598,50256,MY-08,MY.PK,MY.PK.PT
Penang,Barat Daya Pulau Pinang,Balik Pulau,5.3765,100.2203,197131,99446,97685,MY-07,MY.PG,MY.PG.BD
Penang,Seberang Perai Selatan,Sungai Jawi,5.2625,100.5106,166685,85292,81393,MY-07,MY.PG,MY.PG.SS
Penang,Seberang Perai Tengah,Bukit Mertajam,5.3486,100.4835,362820,186500,176320,MY-07,MY.PG,MY.PG.ST
Penang,Seberang Perai Utara,Kepala Batas,5.517,100.4488,288692,144553,144139,MY-07,MY.PG,MY.PG.SU
Penang,Timur Laut Pulau Pinang,George Town,5.4271,100.3056,510996,248919,262077,MY-07,MY.PG,MY.PG.TL
Selangor,Gombak,Rawang,3.3004,101.6403,668694,343855,324839,MY-10,MY.SL,MY.SL.GO
Selangor,Hulu Langat,Hulu Langat,3.1997,101.8567,1138198,586861,551337,MY-10,MY.SL,MY.SL.HL
Selangor,Hulu Selangor,Kuala Kubu Baru,3.5617,101.6572,194387,100525,93862,MY-10,MY.SL,MY.SL.HS
Selangor,Klang,Klang,3.0239,101.4591,842146,447274,394872,MY-10,MY.SL,MY.SL.KE
Selangor,Kuala Langat,Banting,2.8002,101.501,220214,115013,105201,MY-10,MY.SL,MY.SL.KL
Selangor,Kuala Selangor,Kuala Selangor,3.3494,101.2847,205257,104469,100788,MY-10,MY.SL,MY.SL.KS
Selangor,Petaling,Shah Alam,3.1061,101.56,1765495,904094,861401,MY-10,MY.SL,MY.SL.PE
Selangor,Sabak Bernam,Sabak Bernam,3.5526,101.163,103709,52444,51265,MY-10,MY.SL,MY.SL.SB
Selangor,Sepang,Sepang,2.8062,101.7149,207354,111274,96080,MY-10,MY.SL,MY.SL.SP
N.Sembilan,Jelebu,Kuala Klawang,2.927,102.1048,38299,20144,18155,MY-05,MY.NS,MY.NS.JL
N.Sembilan,Jempol,Bahau / Jempol,2.8037,102.4204,112740,58526,54214,MY-05,MY.NS,MY.NS.JM
N.Sembilan,Kuala Pilah,Kuala Pilah,2.6997,102.2345,63874,31367,32507,MY-05,MY.NS,MY.NS.KP
N.Sembilan,Port Dickson,Lukut,2.5887,101.8439,110991,58282,52709,MY-05,MY.NS,MY.NS.PD
N.Sembilan,Rembau,Rembau,2.5854,102.1607,41988,21343,20645,MY-05,MY.NS,MY.NS.RE
N.Sembilan,Seremban,Seremban,2.6966,102.0411,536147,278082,258065,MY-05,MY.NS,MY.NS.SE
